number,data
0,23.1583
1,23.1343
2,23.1188
3,23.1281
4,23.1352
5,22.5257
6,22.5347
7,22.5228
8,22.5293
9,22.524
10,22.5161
11,22.5048
12,22.491
13,22.4772
14,22.4753
15,22.4651
16,22.4525
17,22.4561
18,22.4558
19,22.471
20,23.0551
21,23.0371
22,23.0341
23,23.0321
24,23.0279
25,23.0371
26,23.0349
27,23.0304
28,23.0391
29,23.05
30,23.0399
31,23.0539
32,23.0551
33,23.0483
34,23.0483
35,23.0368
36,23.0338
37,22.9241
38,22.9303
39,22.9132
40,22.9124
41,25.4951
42,25.4866
43,25.4642
44,25.4418
45,25.4098
46,25.2521
47,25.2365
48,25.211
49,25.1756
50,25.1438
51,24.8722
52,24.8574
53,24.8398
54,24.8214
55,24.8067
56,24.7908
57,24.7695
58,24.7514
59,22.0629
60,22.0735
61,22.091
62,22.0826
63,22.0534
64,22.043
65,22.0323
66,22.043
67,22.032
68,22.0458
69,22.0385
70,22.0317
71,22.0278
72,22.0151
73,22.0165
74,22.0276
75,22.0087
